Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
trigger,verb,set off,A single malfunction in the power grid triggered blackouts across three states.,,Medium,Mid
underwrite,verb,to accept financial responsibility for an activity so that you will pay for special costs or for losses it may make,Insurance companies rarely underwrite policies for buildings in flood zones.,,Advanced,Low
sanction,noun,"explicit or official approval, permission, or ratification",The board withheld its sanction until all safety concerns were addressed.,,Medium,Mid
retrospective,noun,"a public exhibition of the work that an artist has done in the past, showing how his or her work has developed adj. connected with something that happened in the past",The gallery's retrospective featured paintings spanning the artist's entire career.,,Advanced,Low
endorse,verb,"to say publicly that you support a person, statement or course of action",Several medical associations now endorse the use of this treatment.,,Medium,Mid
revisionist,adjective,advocating a policy of revision or modification,Revisionist interpretations of the Civil War continue to spark academic debate.,,Advanced,Low
straddle,verb,to sit or stand with one of your legs on either side of somebody/something,The ancient fortress straddles a narrow mountain pass.,,Medium,Mid
qualify,verb,to reach the standard of ability or knowledge needed to do a particular job,Athletes must qualify through regional competitions to reach nationals.,,Medium,Mid
premise,noun,a statement or an idea that forms the basis for a reasonable line of argument,His entire argument rested on a false premise about voter behavior.,,Medium,Mid
array,noun,a group or collection of things or people,The laboratory contained an array of sophisticated measuring instruments.,,Core,High
gut,adjective,based on feelings and emotions rather than thought and reason n. the tube in the body through which food passes when it leaves the stomach,Her gut feeling about the investment proved correct.,,Core,High
eruption,noun,"an occasion when a volcano suddenly throws out burning rocks, smoke, etc",The volcanic eruption forced thousands to evacuate immediately.,,Medium,Mid
monitor,verb,to watch and check something over a period of time in order to see changes or developments,Teachers monitor student progress through weekly assessments.,,Medium,Mid
abstraction,noun,the quality of being abstract,Mathematical abstraction allows us to solve complex real-world problems.,,Advanced,Low
wax,noun,"a solid substance made from fats or oils, used for polishing, sealing, or protection",Furniture makers apply wax to protect wood surfaces from moisture.,,Core,High
comb,noun,"a flat piece of plastic with a row of thin teeth along one side, used for making your hair neat",He ran a comb through his hair before the job interview.,,Core,High
symbiosis,noun,"the relationship between two different living creatures that live close together, each getting particular benefits",The symbiosis between bees and flowering plants benefits both species.,,Advanced,Low
tender,adjective,expressing soft emotions,His tender words comforted the grieving family.,,Medium,Mid
coup,noun,a sudden decisive exercise of force in politics and especially the violent overthrow or alteration of an existing government by a small group,The military coup overthrew the elected government overnight.,,Core,High
sway,verb,move or cause to move slowly or rhythmically backwards and forwards or,Strong winds caused the suspension bridge to sway dangerously.,,Core,High
delegate,verb,"to give part of your work, power or authority to somebody in a lower position than you n. a person who is chosen or elected to represent the views of a group of people and vote and make decisions for them",Effective managers delegate routine tasks to focus on strategic planning.,,Medium,Mid
