Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
trigger,verb,set off,The seemingly minor dispute triggered a series of diplomatic crises.,,Medium,Mid
underwrite,verb,to accept financial responsibility for an activity so that you will pay for special costs or for losses it may make,The foundation agreed to underwrite the museum's expansion project.,,Advanced,Low
sanction,noun,official permission or approval,The university granted its sanction for the controversial research project.,,Medium,Mid
retrospective,noun,looking back on or dealing with past events or situations,"In retrospective analysis, the economists identified warning signs of the recession.",,Advanced,Low
endorse,verb,"to say publicly that you support a person, statement or course of action",The committee refused to endorse the proposal without further evidence.,,Medium,Mid
revisionist,adjective,advocating a policy of revision or modification,The revisionist historians challenged traditional accounts of the war.,,Advanced,Low
straddle,verb,to sit or stand with one of your legs on either side of somebody/something,The town straddles the border between two states.,,Medium,Mid
qualify,verb,to modify or limit a statement to make it less absolute,The researcher qualified her conclusions by noting the study's limitations.,,Medium,Mid
premise,noun,a statement or an idea that forms the basis for a reasonable line of argument,The lawyer questioned the premise of the prosecution's argument.,,Medium,Mid
array,noun,a group or collection of things or people,The buffet featured an impressive array of international cuisines.,,Core,High
gut,adjective,based on feelings and emotions rather than thought and reason n. the tube in the body through which food passes when it leaves the stomach,It was a gut reaction that saved him from danger.,,Core,High
eruption,noun,"an occasion when a volcano suddenly throws out burning rocks, smoke, etc",The volcanic eruption destroyed several villages.,,Medium,Mid
monitor,verb,to watch and check something over a period of time in order to see changes or developments,Scientists monitor air quality levels to track pollution patterns.,,Medium,Mid
abstraction,noun,the quality of being abstract,Love is an abstraction that poets try to capture in concrete images.,,Advanced,Low
wax,noun,"a solid substance made from fats or oils, used for polishing, sealing, or protection",The surfer applied wax to her board for better grip.,,Core,High
comb,noun,"a flat piece of plastic with a row of thin teeth along one side, used for making your hair neat",She used a wide-tooth comb to detangle her curly hair.,,Core,High
symbiosis,noun,"the relationship between two different living creatures that live close together, each getting particular benefits",Clownfish and sea anemones live in remarkable symbiosis.,,Advanced,Low
tender,adjective,expressing soft emotions,Her tender handling of the situation prevented further conflict.,,Medium,Mid
coup,noun,a sudden decisive exercise of force in politics and especially the violent overthrow or alteration of an existing government by a small group,The peaceful transfer of power prevented a military coup.,,Core,High
sway,verb,move or cause to move slowly or rhythmically backwards and forwards or,Public opinion can sway election outcomes significantly.,,Core,High
delegate,verb,"to give part of your work, power or authority to somebody in a lower position than you n. a person who is chosen or elected to represent the views of a group of people and vote and make decisions for them","Unable to attend personally, she had to delegate her voting rights.",,Medium,Mid
heuristic,adjective,"teaching or education encourages you to learn by discovering things for yourself n. a method of solving problems by finding practical ways of dealing with them, learning",The puzzle requires heuristic thinking rather than memorization.,,Advanced,Low
rally,noun,a large public meeting v. to come together or bring people together in order to help or support somebody/something,Thousands attended the rally for educational reform.,,Core,High
mock,verb,"make fun of, laugh at somebody/something in an unkind way, especially by copying what they say or do adj. sham, not sincere or real",The editorial mocked the mayor's unrealistic promises.,,Core,High
taint,noun,the effect of something bad or unpleasant that damages or harms the quality of somebody/ something vt. to damage or harm the quality of something or the opinion that people have of somebody/something,The bribery scandal tainted the judge's reputation.,,Core,High
ascetic,adjective,"not allowing yourself physical pleasures, especially for religious reasons",The scholar's ascetic lifestyle reflected his philosophical beliefs.,,Medium,Mid
initiative,noun,the ability to assess and initiate things independently,"Without waiting for permission, she took initiative to solve the problem.",,Advanced,Low
erosion,noun,"the process by which the surface of something is gradually destroyed through the action of wind, rain, etc.",The gradual erosion of trust destroyed their partnership.,,Medium,Mid
compromise,noun,to weaken or damage,The leak could compromise the building's structural integrity.,,Advanced,Low
sneer,verb,"mock, to show that you have no respect for somebody by the expression on your face or by the way you speak n. an unpleasant look, smile or comment that shows you do not respect somebody/something",The critic's review was full of sneers at mainstream taste.,,Core,High
bristle,noun,a short stiff hair v. to stand up on the back and neck because the animal is frightened or angry,The dog's hackles bristled at the stranger's approach.,,Medium,Mid
brood,verb,"to think a lot about something that makes you annoyed, anxious or upset","After the rejection, he would brood rather than seek new opportunities.",,Core,High
savage,adjective,aggressive and violent,The savage cuts to the budget eliminated essential programs.,barbarous; barbarian; uncivilized,Medium,Mid
rebelliousness,noun,"being unwilling to obey rules or follow generally accepted standards of behaviour, dress, etc",Her teenage rebelliousness evolved into social activism.,,Advanced,Low
conservatory,noun,a school or college at which people are trained in music and theatre,"After high school, she studied at a prestigious conservatory.",,Advanced,Low
attachment,noun,a feeling of love for somebody/something,Infants develop attachment to their primary caregivers.,,Advanced,Low
excavation,noun,the activity of digging in the ground to look for old buildings or objects that have been buried for a long time,The excavation revealed artifacts from three different civilizations.,,Advanced,Low
bombard,verb,to attack a place by firing large guns at it or dropping bombs on it continuously,Reporters bombarded the representative with difficult questions.,,Medium,Mid
libel,noun,the act of printing a statement about somebody that is not true and that gives people a bad opinion of them v. slander,The newspaper retracted the story to avoid libel charges.,,Core,High
parasite,noun,a small animal or plant that lives on or inside another animal or plant and gets its food,Mistletoe is a parasite that grows on oak trees.,,Medium,Mid
bureaucracy,noun,a system of government in which most of the important decisions are taken by state officials rather than by elected representatives. excessively complicated administrative procedure,Excessive bureaucracy prevented quick response to the crisis.,,Advanced,Low
thrill,verb,cause to have a sudden feeling of excitement and pleasure,The close victory thrilled supporters who had doubted success.,,Medium,Mid
conjecture,verb,guess,"Without evidence, any explanation remains mere conjecture.",,Advanced,Low
herd,noun,a group of animals of the same type that live and feed together,The rancher moved his herd to fresh pastures.,,Core,High
hoard,verb,"to collect and keep large amounts of food, money, etc., often secretly n. a collection of money, food, valuable objects, etc., especially one that somebody keeps in a secret place","During uncertainty, people tend to hoard essential supplies.",,Core,High
pool,noun,to combine resources or efforts,The departments will pool their budgets to fund the initiative.,,Core,High
protest,verb,"to say or do something to show that you disagree with something, especially publicly",Students organized to protest the sudden policy change.,,Medium,Mid
self-conscious,adjective,nervous or embarrassed about your appearance or what other people think of you,His self-conscious behavior revealed his discomfort with attention.,shy; awkward,Advanced,Low
eclipse,verb,to surpass or outshine,Her achievements eclipse those of previous students.,surpass; overshadow; obscure,Medium,Mid
sage,noun,a very wise person,The sage is essential for ecosystem balance.,,Core,High
amnesty,noun,the act of an authority by which pardon is granted to a large group of individuals v. to pardon officially often before a trial or conviction,The amnesty inspired a new artistic movement.,,Medium,Mid
ramble,noun,a long walk for pleasure,The team's ramble determined the championship outcome.,,Medium,Mid
lush,adjective,growing thickly and strongly in a way that is attractive,The lush artifact revealed ancient practices.,,Core,High
prohibition,noun,"the act of stopping something being done or used, especially by law",Understanding the prohibition helps improve patient care.,,Advanced,Low
intuition,noun,the ability to know something by using your feelings rather than considering the facts,The intuition affected quarterly earnings.,,Advanced,Low
swab,noun,"a piece of soft material used by a doctor, nurse, etc. for cleaning wounds or taking a sample",Scientists studied the swab under controlled conditions.,,Core,High
coincide,verb,to take place at the same time,Teachers coincide student progress throughout the semester.,,Medium,Mid
judgement,noun,the ability to make sensible decisions,The judgement influenced voter turnout.,,Advanced,Low
concoct,verb,"to make something, especially food or drink, by mixing different things",She learned to concoct her daily routine.,,Medium,Mid
congenial,adjective,pleasant because it suits your character,The congenial design won industry awards.,,Advanced,Low
exile,noun,"a person who chooses, or is forced, to live away",The exile is essential for ecosystem balance.,,Core,High
denounce,verb,"to strongly criticize somebody/something that you think is wrong, illegal, etc.",The artist chose to denounce traditional techniques.,,Medium,Mid
prelude,noun,"a short piece of music, especially an introduction to a longer piece",The team's prelude determined the championship outcome.,,Medium,Mid
bitterness,noun,angry and unhappy feelings caused by the belief that you have been treated unfairly,The bitterness marked a turning point in civilization.,,Advanced,Low
govern,verb,"conduct the policy, actions, and affairs of with authority",Doctors govern treatment based on test results.,,Medium,Mid
feint,noun,something feigned,The feint affected quarterly earnings.,,Core,High
taboo,noun,"a cultural or religious custom that does not allow people to do, use or talk about a particular thing",Scientists studied the taboo under controlled conditions.,,Core,High
