Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
trigger,verb,set off,The ambassador's careless remark triggered an international incident that took months to resolve.,,Est. Medium,Est. Mid
underwrite,verb,to accept financial responsibility for an activity so that you will pay for special costs or for losses it may make,"When banks refused, a private foundation stepped in to underwrite the risky but vital medical research.",,Est. Advanced,Est. Low
sanction,noun,official permission OR a penalty imposed for breaking a law,The committee granted its sanction for the research project.,Alt: 'Sanction' can also mean punishment (economic sanctions against a country).,Est. Medium,Est. Mid
retrospective,noun,looking back on past events OR an exhibition of past works,Her retrospective analysis revealed patterns everyone had missed.,Alt: Can also refer to an exhibition of an artist's past works.,Est. Advanced,Est. Low
endorse,verb,"to say publicly that you support a person, statement or course of action",The senator's refusal to endorse the bill signaled its certain defeat.,,Est. Medium,Est. Mid
revisionist,adjective,advocating a policy of revision or modification,The revisionist historians challenged traditional accounts of the war.,,Est. Advanced,Est. Low
straddle,verb,to sit or stand with one of your legs on either side of somebody/something,The town straddles the border between two states.,,Est. Medium,Est. Mid
qualify,verb,to modify or limit a statement to make it less absolute,The researcher qualified her conclusions by noting the study's limitations.,,Est. Medium,Est. Mid
premise,noun,a statement or an idea that forms the basis for a reasonable line of argument,The lawyer questioned the premise of the prosecution's argument.,,Est. Medium,Est. Mid
array,noun,a group or collection of things or people,The buffet featured an impressive array of international cuisines.,,Est. Core,Est. High
gut,adjective,based on feelings and emotions rather than thought and reason n. the tube in the body through which food passes when it leaves the stomach,It was a gut reaction that saved him from danger.,,Est. Core,Est. High
eruption,noun,"an occasion when a volcano suddenly throws out burning rocks, smoke, etc",The volcanic eruption destroyed several villages.,,Est. Medium,Est. Mid
monitor,verb,to watch and check something over a period of time in order to see changes or developments,Scientists monitor ocean temperatures because even small changes affect global weather patterns.,,Est. Medium,Est. Mid
abstraction,noun,the quality of being abstract,Love is an abstraction that poets try to capture in concrete images.,,Est. Advanced,Est. Low
wax,noun,"a solid substance made from fats or oils, used for polishing, sealing, or protection",The surfer applied wax to her board for better grip.,,Est. Core,Est. High
comb,noun,"a flat piece of plastic with a row of thin teeth along one side, used for making your hair neat",She used a wide-tooth comb to detangle her curly hair.,,Est. Core,Est. High
symbiosis,noun,"the relationship between two different living creatures that live close together, each getting particular benefits",Clownfish and sea anemones live in remarkable symbiosis.,,Est. Advanced,Est. Low
tender,adjective,expressing soft emotions,Her tender handling of the situation prevented further conflict.,,Est. Medium,Est. Mid
